,season,episode,category,value,clue,answer
0,33,"Show #7585 - Friday, July 28, 2017","HELLO, SUCKER!",$200,"At the tequila bar, lick the salt off your hand, drink the shot, then suck on this",the lemon (or lime)
1,33,"Show #7585 - Friday, July 28, 2017",STEPHEN KING'S BAD FOLKS,$200,A fan named Annie Wilkes breaks a writer's illusions of safety in this novel,Misery
2,33,"Show #7585 - Friday, July 28, 2017",COUNTRIES OF THE WORLD,$200,It's the Hellenic Republic,Greece
3,33,"Show #7585 - Friday, July 28, 2017",TOYS & GAMES,$200,"The character behind bars in this game is Jake the Jailbird, put there due to the efforts of Officer Edgar Mallory",Monopoly
4,33,"Show #7585 - Friday, July 28, 2017",TV FOR THEE,$200,Anthony Geary won Emmys in 4 different decades for playing Luke on this soap (& Luke wasn't even a doctor!),General Hospital
5,33,"Show #7585 - Friday, July 28, 2017",IN VULNERABLE,$200,A carpenter uses it to measure a horizontal plane,a level
6,33,"Show #7585 - Friday, July 28, 2017","HELLO, SUCKER!",$400,"Completes the title of an 1847 novel featuring ""a gush of blood, and a hideous sucking noise"": ""Varney the...""",vampire
7,33,"Show #7585 - Friday, July 28, 2017",STEPHEN KING'S BAD FOLKS,$400,"There's ""no play"" for this character who comes under the influence of evil at the Overlook Hotel in ""The Shining""",Jack Torrance
8,33,"Show #7585 - Friday, July 28, 2017",COUNTRIES OF THE WORLD,$400,"Its 83 divisions include 21 ""republics"" & 2 ""federal cities""",the Russian Federation
9,33,"Show #7585 - Friday, July 28, 2017",TOYS & GAMES,$400,"In 2013 this educational toy company ""jumped"" over its competitors by introducing a kids tablet with WiFi",LeapFrog
10,33,"Show #7585 - Friday, July 28, 2017",TV FOR THEE,$400,"This host's Top 10 list of ""Least Popular Dr. Seuss Books"" includes ""If I Ran the Knicks""",David Letterman
11,33,"Show #7585 - Friday, July 28, 2017",IN VULNERABLE,$400,"A smear, or last night after a few too many cocktails",a blur
12,33,"Show #7585 - Friday, July 28, 2017","HELLO, SUCKER!",$600,"The Amer. Academy of Pediatrics says this habit fulfills a need of all infants but around age 5, maybe worry a bit",thumb-sucking
13,33,"Show #7585 - Friday, July 28, 2017",STEPHEN KING'S BAD FOLKS,$600,Her mother is the domineering & ultra-religious Margaret White; don't wait up!,Carrie
14,33,"Show #7585 - Friday, July 28, 2017",COUNTRIES OF THE WORLD,$600,"Formerly Upper Volta, still 2 words",Burkina Faso
15,33,"Show #7585 - Friday, July 28, 2017",TOYS & GAMES,$600,2 of the characters in this game are Cutie Cone & Giggly Gumdrop,Candy Land
16,33,"Show #7585 - Friday, July 28, 2017",TV FOR THEE,$600,"Jeff & Beau's dad, he starred in ""Sea Hunt"" on TV & picked the wrong week to quit sniffing glue on film in ""Airplane!""",Lloyd Bridges
17,33,"Show #7585 - Friday, July 28, 2017",IN VULNERABLE,$600,"Mr. Ives, or a knot in fabric",Burl
18,33,"Show #7585 - Friday, July 28, 2017","HELLO, SUCKER!",$800,H. Cecil Booth's version of this contraption was used to clean up Westminster Abbey for a coronation in 1902,a vacuum cleaner
19,33,"Show #7585 - Friday, July 28, 2017",STEPHEN KING'S BAD FOLKS,$800,An encounter with an amoral politician makes a psychic contemplate murder in this work,The Dead Zone
20,33,"Show #7585 - Friday, July 28, 2017",COUNTRIES OF THE WORLD,$800,"It's greatest width is 7 miles, so a walk from Austria to Switzerland... no problem",Liechtenstein
21,33,"Show #7585 - Friday, July 28, 2017",TOYS & GAMES,"DD: $2,400",Sales of this game first known as Pretzel got a big boost in 1966 when Eva Gabor & Johnny Carson played it on TV,Twister
22,33,"Show #7585 - Friday, July 28, 2017",TV FOR THEE,$800,"If we rebuilt Steve Austin in 2017 instead of 1974 when this show premiered, the title number would be $30 million",The Six Million Dollar Man
23,33,"Show #7585 - Friday, July 28, 2017",IN VULNERABLE,$800,"Audacity; you've got a lot of this, pal",nerve
24,33,"Show #7585 - Friday, July 28, 2017","HELLO, SUCKER!",$1000,"The ultimate hitchhikers, these suckerfish attach themselves to other fish, like sharks",remora
25,33,"Show #7585 - Friday, July 28, 2017",STEPHEN KING'S BAD FOLKS,$1000,"It could only be this ageless creepy clown in ""It""",Pennywise
26,33,"Show #7585 - Friday, July 28, 2017",COUNTRIES OF THE WORLD,$1000,This peninsular country's only land border is with Saudi Arabia,Qatar
27,33,"Show #7585 - Friday, July 28, 2017",TOYS & GAMES,$1000,"Created in 1914 and still fun a century later, it was inspired by watching kids play with simple items like sticks",Tinker Toys
28,33,"Show #7585 - Friday, July 28, 2017",TV FOR THEE,$1000,"For fashion & style that's ""Trendy@Wendy"", check out this host's show",Wendy Williams
29,33,"Show #7585 - Friday, July 28, 2017",IN VULNERABLE,$1000,To wash,lave
30,33,"Show #7585 - Friday, July 28, 2017",WORDS OF WISDOM,$400,"A wise man, or the Salvia officinalis in his garden",sage
31,33,"Show #7585 - Friday, July 28, 2017","MEDICAL ""E""s",$400,Severe otitis media can lead to a perforation of this membrane,the eardrum
32,33,"Show #7585 - Friday, July 28, 2017",PLAN,$400,"The 1821 Plan de Iguala, named for a city in Guerrero, led to this country's independence from Spain",Mexico
33,33,"Show #7585 - Friday, July 28, 2017",9,$400,Nine-ball is a standard pro variant of pocket these,billiards
34,33,"Show #7585 - Friday, July 28, 2017",FROM OUTER SPACE,$400,"On TV in 1971 Alan Shepard called one of these a ""little white pellet that's familiar to millions of Americans""",a golf ball
35,33,"Show #7585 - Friday, July 28, 2017",& OTHER ODD FILMS,$400,"In ""Bubba Ho-Tep"" Bruce Campbell plays this ""king of rock & roll"" who sets off to nab a mummy with a guy who thinks he's JFK",Elvis
