,season,episode,category,value,clue,answer
0,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",WORLD LEADERS,200,"Of Napoleon I, Napoleon II or Napoleon III, the one who never ruled France",Napoleon II
1,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",COLORS,200,"A person described as ""hoary"" has hair this color",white (or gray)
2,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",6-LETTER WORDS,200,The second book of the Old Testament & the event described there,Exodus
3,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",INTERNATIONAL CUISINE,200,Hungary is famous for this beef stew flavored with paprika,goulash
4,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",HIGHWAYS & BYWAYS,200,"Traditionally, inaugural parades follow this street between the Capitol & the White House",Pennsylvania Avenue
5,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",ART WORLD BLOCKBUSTERS,200,"Assessed at $100 million in 1962, this da Vinci painting is believed to be the world's most valuable",the Mona Lisa
6,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",WORLD LEADERS,400,This man who punished traitors in WWII was made Soviet Premier in 1958,Khrushchev
7,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",COLORS,400,This nickname of Kentucky can refer to its landscape or its music,bluegrass
8,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",6-LETTER WORDS,400,"Marilyn Quayle's profession, although she hasn't practiced in years",lawyer
9,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",INTERNATIONAL CUISINE,400,It's how you'd order rice with chicken in Spanish-speaking countries,arroz con pollo
10,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",HIGHWAYS & BYWAYS,400,The Overseas Highway starts at Key Largo & ends at this island,Key West
11,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",ART WORLD BLOCKBUSTERS,400,In 1980 one of this glassworker's lamps fetched the highest price ever for Art Nouveau,Louis Tiffany
12,superjeopardy,"Super Jeopardy! show #13 - Saturday, September 8, 1990",WORLD LEADERS,600,Party to which French president Francois Mitterand belongs,the Socialist Party
